FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	47999	0	4095	0
5	2	48000	512	4096	65535
8	3	48011	768	4608	
15	4	48034	896	4864	
	5	48128	960	4992	
	6	48640	992	5056	
	8	48896	996	5088	
	15	48960	998	5092	
	16	48992	999	5094	
		48996			
		48998			
