FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	1024	128	256	4096
3	3	1536	192	384	4608
4	4	1792	224	448	4864
6	5	1920	240	480	4992
	6	1984	248	496	4996
	11	1992	252	504	4998
	15	1996	254	508	4999
	16	1998	255	510	
	17	1999		511	
	21				
	23				
	43				
