FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	16384	1024	1024	16384
3	3	32768	1536	1536	32768
4	4	49152	1792	1792	49152
5	5	57344	1920	1920	57344
6	6	61440	1984	1984	61440
8	7	63488	1992	1992	63488
	8	64512	1996	1996	64512
	15	65024	1998	1998	65024
	16	65280	1999	1999	65280
	17	65408			65408
	20	65472			65472
	21	65504			65504
	22	65520			65520
	23	65528			65528
	43	65532			65532
		65534			65534
