FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	768	768	768	768
4	4	896	896	896	896
5	5	960	960	960	960
6	6	992	992	992	992
7	7	1000	996	996	1000
8	8		998	998	
15	15		999	999	
16	16				
17	17				
20	20				
21	21				
22	22				
	23				
	43				
